time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-25T09:40:57.378Z,62.23,-147.2821,19.9,2.4,ml,,,,0.76,ak,ak0215aceiar,2021-04-25T10:08:22.040Z,"33 km N of Eureka Roadhouse, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-04-25T09:39:37.609Z,62.2267,-145.806,0,2.4,ml,,,,1.04,ak,ak0215ace93f,2021-04-25T10:13:50.040Z,"18 km NW of Glennallen, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-25T09:32:48.220Z,38.1987,-117.734,8.3,1.4,ml,18,121.64,0.034,0.14,nn,nn00805741,2021-04-25T11:07:45.604Z,"39 km ESE of Mina, Nevada",earthquake,,3.3,,,automatic,nn,nn
2021-04-25T09:29:39.040Z,33.49,-116.79,6.15,2.03,ml,79,18,0.02393,0.2,ci,ci39628303,2021-04-25T09:40:29.860Z,"9km NE of Aguanga, CA",earthquake,0.17,0.49,0.127,25,automatic,ci,ci
2021-04-25T09:25:19.043Z,61.5314,-149.8837,38.5,1.2,ml,,,,0.4,ak,ak0215acb7l9,2021-04-25T09:29:27.707Z,"3 km ENE of Big Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-04-25T09:24:36.340Z,38.1518,-117.8753,13.3,1,ml,14,74.89,0.021,0.13,nn,nn00805738,2021-04-25T09:33:43.206Z,"33 km SE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2021-04-25T09:22:06.235Z,60.678,-151.6255,80,1.2,ml,,,,0.31,ak,ak0215acajii,2021-04-25T09:27:47.167Z,"18 km WNW of Salamatof, Alaska",earthquake,,1.1,,,automatic,ak,ak
2021-04-25T09:17:26.090Z,38.8341675,-122.8081665,1.88,0.84,md,13,62,0.01086,0.02,nc,nc73554310,2021-04-25T10:28:06.663Z,"8km W of Cobb, CA",earthquake,0.3,0.64,,2,automatic,nc,nc
2021-04-25T09:07:51.563Z,59.5437,-152.4201,78.4,1,ml,,,,0.22,ak,ak0215ac7f84,2021-04-25T09:10:55.008Z,"35 km NW of Nanwalek, Alaska",earthquake,,1.1,,,automatic,ak,ak
2021-04-25T08:40:17.190Z,19.3635005950928,-155.012664794922,-0.209999993443489,1.87,ml,34,191,,0.219999999,hv,hv72440592,2021-04-25T08:45:48.800Z,"15 km SW of Leilani Estates, Hawaii",earthquake,0.83,0.270000011,0.5,3,automatic,hv,hv
2021-04-25T08:37:46.751Z,65.1677,-152.7364,8,1,ml,,,,1.31,ak,ak0215abseqh,2021-04-25T08:43:11.674Z,"30 km W of Tanana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-04-25T08:34:18.450Z,38.8359985,-122.8081665,2.1,0.36,md,9,107,0.01267,0.01,nc,nc73554295,2021-04-25T08:55:05.070Z,"8km WNW of Cobb, CA",earthquake,0.55,0.91,,1,automatic,nc,nc
2021-04-25T08:33:12.504Z,62.3231,-151.1142,78.3,1.3,ml,,,,0.33,ak,ak0215abrh82,2021-04-25T08:41:01.073Z,"26 km SW of Petersville, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-04-25T08:28:02.170Z,38.7928352,-122.7628326,2.71,0.21,md,8,89,0.008152,0.02,nc,nc73554285,2021-04-25T08:44:04.998Z,"2km NNW of The Geysers, CA",earthquake,0.4,1.56,0.16,2,automatic,nc,nc
2021-04-25T08:26:16.050Z,38.7890015,-122.760498,2.62,2.34,md,56,55,0.01162,0.07,nc,nc73554280,2021-04-25T09:35:08.325Z,"1km NNW of The Geysers, CA",earthquake,0.15,0.28,0.13,33,automatic,nc,nc
2021-04-25T08:23:40.640Z,19.2411670684814,-155.401168823242,32.0699996948242,2.16,ml,50,79,,0.129999995,hv,hv72440582,2021-04-25T08:47:39.040Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.55,0.730000019,3.19,8,automatic,hv,hv
2021-04-25T08:21:38.435Z,62.251,-145.7711,0,3.3,ml,,,,1.02,ak,ak0215aboyl3,2021-04-25T15:34:32.125Z,"19 km NW of Glennallen, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-04-25T08:11:43.470Z,38.8110008,-122.8290024,1.03,0.85,md,9,160,0.002134,0.02,nc,nc73554275,2021-04-25T09:19:08.228Z,"7km WNW of The Geysers, CA",earthquake,0.38,0.81,,1,automatic,nc,nc
